Legacy_Code	Banner_Org	Deptname	deptFullName	directoryDisplayName	directorySortName	Name	Address	Address2	Mailcode	buildingCode	city	state	zip	areaCode	Phone	NetId	CIP	Comments	DeptType	Dean	Duplicate	Active	Campus	College	CollegeName	AdminRollup	School	Dept	URL	directoryDisplay	
00001	9A1-AA-AA0-391	Secr Ofc/Board of Trustees	Secretary of the Board of Trustees	Secretary of the Board of Trustees	Board of Trustees, The Secretary of	Greg Knott	352 Henry Administration	506 S. Wright	350	46	Urbana	IL	61801-3687	217	333-1920	gknott63			U	F	F	Y	9	AA	Executive Offices	A1	AA0	391	http://www.bot.uillinois.edu/	True	
00005	9A1-AA-AA0-615	President's Office	President's Office	President's Office	President's Office	Timothy L. Killeen	364 Henry Administration	506 S. Wright	346	46	Urbana	IL	61801-3649	217	333-3070	tkilleen			U	T	F	Y	9	AA	Executive Offices	A1	AA0	615	http://www.uillinois.edu/president/	True	
00031	9A2-AT-AT0-693	Ofc of Governmental Relations	Office of Governmental Relations	Office of Governmental Relations	Governmental Relations, Office of	Jennifer Creasey		225 S. College St., Suite 105			Springfield	IL	62704	217	333-1086	jcreasey			U	F	F	Y	9	AT	Vice Pres External Rel & Comm	A2	AT0	693	http://www.ogr.uillinois.edu/	True	
00044	9E1-AM-AM0-813	U of I Foundation	University of Illinois Foundation	University of Illinois Foundation	University of Illinois Foundation	James H. Moore	203 Harker Hall	1305 W. Green	386	25	Urbana	IL	61801	217	244-3673	jimmoore			U	T	F	Y	9	AM	University of Il Foundation	E1	AM0	813		True	
00060	9A1-AA-AA0-550	University Counsel	Office of University Counsel	Office of University Counsel	University Counsel, Office of	Scott E. Rice	258 Henry Administration	506 S. Wright	340	46	Urbana	IL	61801-3624	217	333-0560	serice			U	F	F	Y	9	AA	Executive Offices	A1	AA0	550	http://www.legal.uillinois.edu/	True	
00104	9E1-AD-AD0-848	Office of University Audits	Office of University Audits	Office of University Audits	Audits, Office of University	Julie Zemaitis	505 E. Green, Suite 206		498	353	Champaign	IL	61820-5723	217	333-0900	jzemaiti			U	T	F	Y	9	AD	University Audits	E1	AD0	848	http://www.audits.uillinois.edu/	True	
00110	9D1-AH-AH0-723	Univ Ofc Planning & Budgeting	University Office for Planning and Budgeting	University Office for Planning and Budgeting	Planning and Budgeting, Office of (University Administration)	Sandy Street	338 Henry Administration	506 S. Wright	360	46	Urbana	IL	61801-3639	217	333-6600	sstreet			U	F	F	Y	9	AH	Exec VP & VP Academic Affairs	D1	AH0	723	http://www.pb.uillinois.edu/	True	
00114	9Z1-AZ-AZ0-862	Planning-Intercampus Mail&Tran	Inter-Campus Mail and Transportation	Inter-Campus Mail and Transportation	Inter-Campus Mail and Transportation		338 Henry Administration	506 S. Wright	360	46	Urbana	IL	61801-3639	217	333-6600				U	F	T	Y	9	AZ	Misc Univ Admin	Z1	AZ0	862		False	
00116	9E1-AR-AR0-835	Merchant Card Services	Merchant Card Services	Merchant Card Services	Merchant Card Services	John Ealy	439 Henry Administration	506 S. Wright	369	46	Urbana	IL	61801-3620	217	265-6464	johnealy	03.0104		U	F	F	Y	9	AR	Office of Treasury Operations	E1	AR0	835	http://www.icard.uillinois.edu/	True	
00118	9E1-AL-AL0-832	Cap Prgm, Real Est, & Util Svc	Capital Programs, Real Estate, and Utility Services	Capital Programs, Real Estate, and Utility Services	Capital Programs, Real Estate, and Utility Services	Michael Wilson	208 Henry Administration	506 S. Wright	321	46	Urbana	IL	61801	217	300-7345	mwils3			U	T	F	Y	9	AL	Cap Prgm, Real Est, & Util Svc	E1	AL0	832	http://www.uocpres.uillinois.edu/	False	
00124	9E1-AE-AE0-699	Admin Info Technology Services	University Office of Administrative Information Technology Services (AITS)	Administrative Information Technology Services	AITS, Administrative Information Technology Services	Kelly Block	50 Gerty Drive		673	281	Champaign	IL	61820-7405	217	333-3102	kjb			U	T	F	Y	9	AE	Admin Info Technology Services	E1	AE0	699	http://www.aits.uillinois.edu/	True	
00129	9E1-AR-AR0-727	Treasury Operations	Treasury Operations	Treasury Operations	Treasury Operations	Sarah Crane	254 Henry Administration	506 S. Wright	356	46	Urbana	IL	61801	217	244-8359	smcrane			U	T	T	Y	9	AR	Office of Treasury Operations	E1	AR0	727	http://www.treasury.uillinois.edu/	True	
00138	9E1-AR-AR0-769	Banking & Investment Services	Banking and Investment Services	Banking and Investment Services	Banking and Investment Services	Geri Melchiorre	214 Henry Administration	506 S. Wright	356	46	Urbana	IL	61801	217	333-2402	melchi84			U	F	T	Y	9	AR	Office of Treasury Operations	E1	AR0	769		False	
00146	9E1-AF-AF0-820	AVP Procurement Services	Assistant Vice President Procurement Services	Assistant Vice President Procurement Services	Assistant Vice President Procurement Services	Aaron Carter	238 Henry Administration	506 S. Wright	356	46	Urbana	IL	61801	217	333-2402	aacarter			U	T	F	Y	9	AF	Ofc of Procurement Services	E1	AF0	820		False	
00147	9E1-AR-AR0-521	Risk Management	University Office of Risk Management	Risk Management	Risk Management	Shelly Romack	247 Henry Administration	506 S. Wright	337	46	Urbana	IL	61801	217	333-3113	romack			U	F	T	Y	9	AR	Office of Treasury Operations	E1	AR0	521	https://www.treasury.uillinois.edu/risk_management/workers_compensation	True	
00160	9D1-AH-AH0-709	Exec VP & VP Academic Affairs	Office of the Executive Vice President and Vice President for Academic Affairs	Office of the Executive Vice President and Vice President for Academic Affairs	Executive Vice President and Vice President for Academic Affairs, Office of the	Nicholas P. Jones	377 Henry Administration	506 S. Wright	348	46	Urbana	IL	61801-3641	217	333-3077	npjones			U	T	F	Y	9	AH	Exec VP & VP Academic Affairs	D1	AH0	709	http://www.vpaa.uillinois.edu/	True	
00166	9D1-AH-AH0-512	University Press	University of Illinois Press	University of Illinois Press	Press, University of Illinois	Michelle Sybert	1325 S. Oak Street		566	255	Champaign	IL	61820-6903	217	333-0950	msybert			U	F	F	Y	9	AH	Exec VP & VP Academic Affairs	D1	AH0	512	http://www.press.uillinois.edu/	True	
00167	9D1-AH-AH0-229	Instit of Govt & Pub Affs	Institute of Government and Public Affairs	Institute of Government and Public Affairs	Government and Public Affairs - IGPA, Institute of	Ben Superfine	1007 W. Nevada		037	74	Urbana	IL	61801-3812	217	333-3340	bsuperfi			U	F	F	Y	9	AH	Exec VP & VP Academic Affairs	D1	AH0	229	http://igpa.uillinois.edu/	True	
00172	9D1-AH-AH2-360	Academic Programs and Services	University Academic Programs and Services	University Academic Programs and Services	Academic Programs and Services, University Office of	Gretchen Lohman	377 Henry Administration	506 S. Wright	348	46	Urbana	IL	61801-3651	217	333-3079	glohm2			U	F	F	Y	9	AH	Exec VP & VP Academic Affairs	D1	AH2	360	http://www.uaps.uillinois.edu/	True	
00176	9D1-AH-AH0-276	Special Univ Academic Programs	Special University Academic Programs	Special University Academic Programs	Special University Academic Programs							IL							U	F	F	Y	9	AH	Exec VP & VP Academic Affairs	D1	AH0	276		False	
00178	9C1-AJ-AJ0-757	Vice Pres Econ Dev and Innov	Office of the Vice President for Economic Development and Innovation	Vice President for Economic Development & Innovation	Economic Development & Innovation, Vice President for	Joseph Tonry Walsh	346 Henry Administration	506 S. Wright	365	46	Urbana	IL	61801-3653	217	265-5440	jaywalsh			U	T	F	Y	9	AJ	Vice Pres Econ Dev and Innov	C1	AJ0	757	http://vpedi.uillinois.edu/	True	
00180	9D1-AH-AH0-904	System Human Resource Services	System Human Resource Services	System Human Resource Services	Human Resource Services, System	Jami Painter	440 Illini Union Bookstore	807 S. Wright	312	106	Champaign	IL	61820-6255	217	333-2600	painterj		Interim	U	F	F	Y	9	AH	Exec VP & VP Academic Affairs	D1	AH0	904	http://hr.uillinois.edu/	True	
00186	1A1-NA-NA2-630	Illinois Human Resources	Illinois Human Resources	Illinois Human Resources	Human Resources, Illinois	Shari Mickey-Boggs	52 E. Gregory Drive		562	154	Champaign	IL	61820-9132	217	333-3101	smboggs			8	F	T	Y	1	NA	Chancellor	A1	NA2	630	http://humanresources.illinois.edu/	True	
00187	9E1-AS-AS0-641	Univ Acct & Fin Report	University Accounting and Financial Reporting	University Accounting and Financial Reporting	University Accounting and Financial Reporting	Brent Rasmus	111 E. Green		597	559	Champaign	IL	61820	217	333-4568	brasmus			U	F	T	Y	9	AS	Office of the Controller	E1	AS0	641		True	
00188	9E1-AS-AS0-374	University Payroll & Benefits	University Payroll and Benefits	University Payroll and Benefits	University Payroll and Benefits	Lawrence V. Hanyzewski	177 Henry Administration	506 S. Wright	318	46	Urbana	IL	61801-3627	217	265-6363	lhanyzew		Interim	U	F	F	Y	9	AS	Office of the Controller	E1	AS0	374	https://nessie.uihr.uillinois.edu/cf/benefits/index.cfm	True	
00192	9Z1-AZ-AZ0-236	Univ System Offices Reserve	University System Offices Reserve	University System Offices Reserve	University System Offices Reserve							IL							U	F	F	Y	9	AZ	Misc Univ Admin	Z1	AZ0	236		False	
00195	9Z3-AX-AX0-869	University-wide Resources	University - Wide Resources	University - Wide Resources	University - Wide Resources		338 Henry Administration	506 S. Wright	360	46	Urbana	IL	61801-3639	217	333-6600				U	F	T	Y	9	AX	University Wide Units	Z3	AX0	869		False	
0Z212	9D1-AH-AH0-212	UA Employee Relations and HR	University Administration Employee Relations and Human Resources	University Administration Employee Relations and Human Resources	University Administration Employee Relations and Human Resources	Jami Painter	271 Henry Administration	506 S. Wright	341	46	Urbana	IL	61801	217	244-8247	painterj			U	F	F	Y	9	AH	Exec VP & VP Academic Affairs	D1	AH0	212		False	
0Z292	9D1-AH-AH0-292	CARLI	The Consortium of Academic and Research Libraries in Illinois	The Consortium of Academic and Research Libraries in Illinois	CARLI (Consortium of Academic and Research Libraries in Illinois)	Laurie Blandino	1704 Interstate Drive			572	Champaign	IL	61822	217	244-7593	laurieb			U	F	T	Y	9	AH	Exec VP & VP Academic Affairs	D1	AH0	292	http://www.carli.illinois.edu/	True	
0Z368	9C1-AJ-AJ0-368	OTM Chicago	Office of Technology Management Chicago	Office of Technology Management Chicago	Office of Technology Management Chicago	Nancy Sullivan	Chicago Shuttle, 446 Com West	1853 West Polk	682		Chicago	IL	60612-7227			nansulli			U	F	F	Y	9	AJ	Vice Pres Econ Dev and Innov	C1	AJ0	368		False	
0Z370	9A1-AN-AN0-370	Univ Ethics & Compliance Ofc	University Ethics and Compliance Office	University Ethics and Compliance Office	Ethics and Compliance Office, University	Donna McNeely	Human Resources Bldg., Rm. 20	One University Plaza, HRB 20			Springfield	IL	62703-5407	866	758-2146	dmcneely		UIS: 866-758-2146	U	T	F	Y	9	AN	University Ethics Office	A1	AN0	370	http://www.ethics.uillinois.edu/	True	
0Z453	9C1-AJ-AJ0-453	Illinois Ventures	Illinois Ventures	Illinois Ventures	Illinois Ventures	Nancy Sullivan	2242 W Harrison St Ste 201		680		Chicago	IL	60606	312	996-9853	nansulli		Chicago	U	F	T	Y	9	AJ	Vice Pres Econ Dev and Innov	C1	AJ0	453	http://www.illinoisventures.com/	True	
0Z460	9C1-AJ-AJ0-460	OTM Urbana-Champaign	Office of Technology Management Urbana-Champaign	Office of Technology Management Urbana-Champaign	Technology Management Urbana-Champaign, Office of	Nathan Hoffmann	317 Ceramics Bldg	105 S. Goodwin	243	55	Urbana	IL	61801	217	333-7862	nhoffma2			U	F	F	Y	9	AJ	Vice Pres Econ Dev and Innov	C1	AJ0	460	http://www.otm.illinois.edu	True	
0Z666	9E1-AP-AP0-666	VP Chief Financial Officer	Office of the Vice President and Chief Financial Officer	Office of the Vice President and Chief Financial Officer	Vice President and Chief Financial Officer	Paul Ellinger	349 Henry Administration	506 S. Wright	352	46	Urbana	IL	61801-3672	217	333-1560	pellinge			U	T	F	Y	9	AP	VP Chief Financial Officer	E1	AP0	666		True	
0Z722	9E1-AR-AR0-722	Agricultural Property Services	Agricultural Property Services	Agricultural Property Services	Agricultural Property Services	Geri Melchiorre	242 Henry Administration	506 S. Wright	363	46	Urbana	IL	61801-3624	217	355-5521	melchi84			U	F	F	Y	9	AR	Office of Treasury Operations	E1	AR0	722	https://www.treasury.uillinois.edu/aps	True	
0Z732	9E1-AR-AR0-732	University Tax	University Tax	University Tax	University Tax	Terry Thompson	209 Henry Administration	506 S. Wright	339	46	Urbana	IL	61801-3624	217	244-8359	terryt			U	F	F	Y	9	AR	Office of Treasury Operations	E1	AR0	732		True	
0Z753	9Z1-AZ-AZ0-753	Medicare	Medicare	Medicare	Medicare							IL							U	F	F	Y	9	AZ	Misc Univ Admin	Z1	AZ0	753		False	
0Z791	9E1-AS-AS0-791	AVP Controller	Assistant Vice President and Controller	Assistant Vice President and Controller	AVP Controller	Jami Painter	111 E. Green		597	559	Champaign	IL	61820			painterj			U	T	F	Y	9	AS	Office of the Controller	E1	AS0	791		True	
0Z888	9E1-AF-AF0-888	Sys Purchasing & Sup Srvc	System Purchasing and Support Services	System Purchasing and Support Services	System Purchasing and Support Services	Aaron Carter	507 E. Green, 5th Floor		404	1262	Champaign	IL	61820	217	333-9289	aacarter			U	F	T	Y	9	AF	Ofc of Procurement Services	E1	AF0	888		False	
10200	1A1-NA-NA0-700	Office of the Chancellor	Office of the Chancellor	Office of the Chancellor	Chancellor, Office of the	Charles L. Isbell Jr.	517 Swanlund Admin Bldg	601 E. John	304	193	Champaign	IL	61820-5711	217	333-6290	isbell			8	T	F	Y	1	NA	Chancellor	A1	NA0	700	http://www.oc.illinois.edu/	True	
10202	1G1-NV-NV0-433	Office for Access and Equity	Office for Access and Equity	Office for Access and Equity	Access and Equity, Office for	Nizam Arain	616 E. Green Street, Suite 214		388	1083	Champaign	IL	61820-5711	217	244-3264	narain			8	F	F	Y	1	NV	Vice Chancellor for Access	G1	NV0	433	https://oae.illinois.edu/	True	
10204	1B2-NB-NB0-431	Provost/EVC Admin	Office of the Provost and Executive Vice Chancellor	Office of the Provost and Executive Vice Chancellor	Provost and Executive Vice Chancellor, Office of the	John J Coleman	317 Swanlund Admin Bldg.	601 E. John	304	193	Champaign	IL	61820-5711	217	333-6677	jc1			8	T	F	Y	1	NB	Provost & Executive VC	B2	NB0	431	http://www.provost.illinois.edu/	True	
10206	1B2-NB-NB0-223	University Laboratory HS	University Laboratory High School	University Laboratory High School	University Laboratory High School	Robert Fitzgerald	1212 W. Springfield		254	61	Urbana	IL	61801-2909	217	333-2870	rjfitzg	13.9999		3	F	F	Y	1	NB	Provost & Executive VC	B2	NB0	223	http://www.uni.illinois.edu/	True	
10220	1B2-NT-NT0-618	Ofc of the Chief Info Officer	Office of the Chief Information Officer	Office of the Chief Information Officer	Chief Information Officer, Office of the	Mairead Martin	2222 DCL	1304 W. Springfield	256	210	Urbana	IL	61801-2910	217	333-3303	maireadm			8	T	F	Y	1	NT	Technology Svcs at Illinois	B2	NT0	618	http://www.cio.illinois.edu/	True	
10221	1B2-NT-NT0-798	Technology Services	Technology Services at Illinois	Technology Services at Illinois	Technology Services	Mairead Martin	2222 DCL	1304 W. Springfield	256	210	Urbana	IL	61801-2910	217	244-7000	maireadm			8	F	T	Y	1	NT	Technology Svcs at Illinois	B2	NT0	798	http://www.techservices.illinois.edu/	True	
10238	1B2-NB-NB0-970	Big Ten Academic Alliance	Big Ten Academic Alliance	Big Ten Academic Alliance	Big Ten Academic Alliance	Keith A. Marshall	1819 S. Neil, Suite D		618	507	Champaign	IL	61820-7271	217	333-8475	keithmar	30.9999		8	F	T	Y	1	NB	Provost & Executive VC	B2	NB0	970	www.btaa.org	True	
10240	1B2-NB-NB0-898	Office of the Registrar	Office of the Registrar	Office of the Registrar	Registrar, Office of the	Meghan Hazen	Admissions & Records, Ste 140	901 W. Illinois	063	378	Urbana	IL	61801-3028	217	333-2034	mhazen			8	F	F	Y	1	NB	Provost & Executive VC	B2	NB1	898	http://www.registrar.illinois.edu/	True	
10270	1B2-NB-NB1-269	Principal's Scholars Pgm	Principal's Scholars Program	Principal's Scholars Program	Principal's Scholars Program	Margarita Ramon-Pfeffer	1112 W. University, Suite 201		248	355	Urbana	IL	61801-2390	217	333-0234	mpramon			8	F	F	Y	1	NB	Provost & Executive VC	B2	NB1	269		True	
10271	1B2-NB-NB0-759	Campus Honors Program	Campus Honors Program	Campus Honors Program	Campus Honors Program	Laurie Johnson	1205 W. Oregon		134	224	Urbana	IL	61801-3716	217	244-0922	lruthjoh	30.9999		8	F	F	Y	1	NB	Provost & Executive VC	B2	NB0	759	http://www.honors.illinois.edu/	True	
10284	1B2-NB-NB1-593	Undergraduate Admissions	Office of Undergraduate Admissions	Office of Undergraduate Admissions	Undergraduate Admissions, Office of	Sara MacKenzie	901 W. Illinois		061	378	Urbana	IL	61801-3028	217	333-0302	saramack			8	F	F	Y	1	NB	Provost & Executive VC	B2	NB1	593	http://admissions.illinois.edu/	True	
10290	1B2-NB-NB0-962	Div of Management Information	Division of Management Information	Division of Management Information	DMI - Division of Management Information	Amy Edwards	601 E. John Street		304		Champaign	IL	61820-6206	217	333-3551	aledward			8	F	F	Y	1	NB	Provost & Executive VC	B2	NB0	962	http://www.dmi.illinois.edu/	True	
10299	1H1-NL-NL3-664	Division of Public Safety	Division of Public Safety	Division of Public Safety	Public Safety, Division of	Matthew Ballinger	1110 W. Springfield		240	323	Urbana	IL	61801-3024	217	333-1216	mballing			8	F	F	Y	1	NL	VC Finance and Administration	H1	NL3	664	http://police.illinois.edu	True	
10305	1C1-NC-NC0-426	Eng & Constr Serv Admin	Engineering & Constr Service Admin	Engineering & Constr Service Admin	Engineering & Constr Service Admin	Morgan White	Physical Plant Svcs Bldg	1501 S. Oak Street	827	198	Champaign	IL	61820-6905	217	333-2500	mbwhite		Acting	8	T	T	Y	1	NC	Administrative Services	C1	NC0	426	http://www.fs.uiuc.edu/campusservices.cfm	False	
10348	1C1-NN-NN5-940	Safety and Compliance	Safety and Compliance	F&S Safety and Compliance	F&S Safety and Compliance	Morgan White	Physical Plant Svcs Bldg	1501 S. Oak Street	821	198	Champaign	IL	61820-6905	217	265-9828	mbwhite			8	F	F	Y	1	NN	Facilities	C1	NN5	940	https://fs.illinois.edu/	True	
10353	1C1-NC-NC0-763	F&S Document Services	F&S Document Services	F&S Document Services	F&S Document Services	Rebecca Salzman	Printing Bldg	54 E. Gregory Dr.	570	198	Champaign	IL	61820-6905	217	333-9350	rsalzman			8	F	T	Y	1	NC	Administrative Services	C1	NC0	763	http://www.printing.illinois.edu/	False	
10358	1C1-NC-NC0-566	Campus Stores and Receiving	Campus Stores and Receiving	F&S Stores and Receiving	F&S Stores and Receiving	Morgan White	1609 S. Oak		662	170	Champaign	IL	61820-0901	217	244-0139	mbwhite			8	F	F	Y	1	NC	Administrative Services	C1	NC0	566	https://fs.illinois.edu	True	
10386	1E1-NQ-NQ0-293	Parking Department	Parking Department	Parking Department	Parking Department	Jamie Singson	1201 W. University Ave.	1201 W. University	241	1094	Urbana	IL	61801-3024	217	333-3530	singson			8	F	F	Y	1	NQ	Auxiliary Units	E1	NQ0	293	http://www.parking.illinois.edu/	True	
10601	1D1-NE-NE0-370	OVCRI Admin	Office of the Vice Chancellor for Research and Innovation - Administration	Office of the Vice Chancellor for Research and Innovation - Administration	Vice Chancellor for Research and Innovation - Administration	Susan Martinis	400 Swanlund Admin Bldg	601 E. John	304	193	Champaign	IL	61820-5711	217	333-0034	martinis			8	T	F	Y	1	NE	VC for Research and Innovation	D1	NE0	370	http://research.illinois.edu/	True	
10602	1D1-NE-NE0-393	OVCRI Support	Office of the Vice Chancellor for Research and Innovation - Support	Office of the Vice Chancellor for Research and Innovation - Support	Vice Chancellor for Research and Innovation - Support	Susan Martinis	400 Swanlund Admin Bldg	601 E. John	304	193	Champaign	IL	61820-5711	217	333-0034	martinis			9	F	T	Y	1	NE	VC for Research and Innovation	D1	NE0	393	http://research.illinois.edu	False	
10609	1D1-NE-NE0-207	Research Board	Research Board	Research Board	Research Board	Kevin Hamilton	400 Swanlund Admin Bldg	601 E. John	304	193	Champaign	IL	61820-5711	217	333-0030	kham			S	F	F	Y	1	NE	VC for Research and Innovation	D1	NE0	207	http://crb.research.illinois.edu/	True	
10619	1D1-NP-NP0-320	Supercomputing Applications	National Center for Supercomputing Applications (NCSA)	National Center for Supercomputing Applications (NCSA)	NCSA - National Center for Supercomputing Applications	Rayadurgam Srikant	1008 NCSA Bldg	1205 W. Clark	257	564	Urbana	IL	61801-2311	217	244-0078	rsrikant	90.1199		3	F	F	Y	1	NP	OVCRI Institutes	D1	NP0	320	http://www.ncsa.illinois.edu/	True	
10620	1B2-NB-NB0-626	Center for Advanced Study	Center for Advanced Study (CAS)	Center for Advanced Study (CAS)	Advanced Study - CAS, Center for	May Berenbaum	919 W. Illinois St.	Suite 200	064	126	Urbana	IL	61801-3029	217	333-6729	maybe	30.9999		3	F	F	Y	1	NB	Provost & Executive VC	B2	NB0	626	http://www.cas.illinois.edu/	True	
10630	1D1-NE-NE0-298	Animal Care Program	Animal Care Program	Animal Care Program	Animal Care Program	Helen Valentine	901 S. Mathews		194	33	Urbana	IL	61801-3609	217	333-2564	helen			8	F	F	Y	1	NE	VC for Research and Innovation	D1	NE0	298	http://www.dar.illinois.edu/	True	
10643	1D1-NE-NE0-531	Biotechnology Center	Biotechnology Center	Biotechnology Center	Biotechnology Center	Bruce Fouke	2604 IGB	1206 W. Gregory	195	1080	Urbana	IL	61801-3609	217	333-1695	fouke	90.2612		4	F	F	Y	1	NE	VC for Research and Innovation	D1	NE0	531	http://www.biotech.illinois.edu/	True	
